probesetId	value	expr
1623070_a_at	0	empty
1623071_at	0	empty
1623072_at	0	empty
1623073_s_at	1	normal
1623074_at	0	empty
1623075_at	0	empty
1623076_at	1.5	high
1623077_at	0	empty
1623078_at	0	empty
1623079_at	0	empty
1623080_at	0	empty
1623081_at	3.5	high
1623082_s_at	0	empty
1623083_at	1	normal
1623084_at	0	empty
1623085_at	0	empty
1623086_at	0.666666667	low
1623087_at	1	normal
1623088_at	1	normal
1623089_at	0	empty
1623090_at	0	empty
1623091_at	0	empty
1623092_at	0	empty
1623093_at	0	empty
1623094_at	0	empty
1623095_at	0	empty
1623096_a_at	0	empty
1623097_at	1	normal
1623098_at	0	empty
1623099_at	0	empty
1623100_at	0	empty
1623101_at	0	empty
1623102_at	0	empty
1623103_at	0	empty
1623104_at	3	high
1623105_at	0	empty
1623106_s_at	MC	MC
1623107_at	0	empty
1623108_at	0	empty
1623109_at	0	empty
1623110_s_at	0	empty
1623111_at	0	empty
1623112_at	0	empty
1623113_at	0	empty
1623114_at	0	empty
1623115_at	0	empty
1623116_at	0	empty
1623117_at	1	normal
1623118_s_at	0.666666667	low
1623119_at	0	empty
1623120_at	0	empty
1623121_at	0	empty
1623122_at	0.666666667	low
1623123_at	0	empty
1623124_at	0.4	low
1623125_at	0	empty
1623126_at	0	empty
1623127_a_at	0	empty
1623128_at	0	empty
1623129_at	0	empty
1623130_at	0	empty
1623131_at	0	empty
1623132_at	0	empty
1623133_a_at	3.5	high
1623134_at	0	empty
1623135_at	0	empty
1623136_at	0	empty
1623137_s_at	1	normal
1623138_at	1	normal
1623139_at	1	normal
1623140_at	0	empty
1623141_s_at	0	empty
1623142_at	0	empty
1623143_s_at	0	empty
1623144_at	0	empty
1623145_s_at	0	empty
1623146_at	0	empty
1623147_at	0	empty
1623148_at	0	empty
1623149_at	0	empty
1623150_at	0	empty
1623151_a_at	0.25	low
1623152_at	0	empty
1623153_s_at	0	empty
1623154_a_at	0.4	low
1623155_at	0	empty
1623156_at	0	empty
1623157_at	0	empty
1623158_s_at	1	normal
1623159_at	0	empty
1623160_at	0	empty
1623161_at	0	empty
1623162_at	0	empty
1623163_at	0	empty
1623164_a_at	2	high
1623165_at	0	empty
1623166_at	0	empty
1623167_at	0	empty
1623168_at	0	empty
1623169_at	0	empty
1623170_at	0	empty
1623171_s_at	0.833333333	low
1623172_at	0	empty
1623173_at	1	normal
1623174_at	0	empty
1623175_at	0	empty
1623176_at	1	normal
1623177_at	0	empty
1623178_at	0	empty
1623179_at	0	empty
1623180_a_at	1	normal
1623181_at	0	empty
1623182_at	2	high
1623183_at	0	empty
1623184_at	0	empty
1623185_s_at	0	empty
1623186_at	0	empty
1623187_at	0	empty
1623188_at	0	empty
1623189_at	0	empty
1623190_at	0	empty
1623191_at	0	empty
1623192_at	0	empty
1623193_at	1	normal
1623194_at	0	empty
1623195_at	0	empty
1623196_s_at	0	empty
1623197_a_at	3.5	high
1623198_at	0	empty
1623199_a_at	1	normal
1623200_at	0	empty
1623201_at	0	empty
1623202_at	0	empty
1623203_at	1	normal
1623204_at	0	empty
1623205_at	0	empty
1623206_a_at	1	normal
1623207_at	1	normal
1623208_at	0	empty
1623209_at	1.5	high
1623210_at	0	empty
1623211_at	0	empty
1623212_s_at	0	empty
1623213_at	0	empty
1623214_at	0	empty
1623215_at	0	empty
1623216_s_at	0.666666667	low
1623217_at	0	empty
1623218_s_at	MC	MC
1623219_at	0	empty
1623220_at	0	empty
1623221_at	0	empty
1623222_s_at	0	empty
1623223_at	1	normal
1623224_at	0	empty
1623225_s_at	1	normal
1623226_at	0	empty
1623227_s_at	1	normal
1623228_at	0	empty
1623229_at	0	empty
1623230_s_at	0	empty
1623231_at	0	empty
1623232_at	0	empty
1623233_at	1	normal
1623234_s_at	0	empty
1623235_at	1	normal
1623236_at	0	empty
1623237_at	1	normal
1623238_at	1	normal
1623239_at	1	normal
1623240_at	0	empty
1623241_s_at	1	normal
1623242_at	1	normal
1623243_at	1	normal
1623244_at	0	empty
1623245_at	0	empty
1623246_at	0	empty
1623247_at	1	normal
1623248_s_at	0	empty
1623249_s_at	0	empty
1623250_at	0	empty
1623251_at	0	empty
1623252_a_at	0	empty
1623253_at	1	normal
1623254_s_at	1	normal
1623255_at	0	empty
1623256_at	1	normal
1623257_a_at	0	empty
1623258_at	0	empty
1623259_at	0	empty
1623260_at	0	empty
1623261_at	0	empty
1623262_at	0	empty
1623263_at	0	empty
1623264_at	1	normal
1623265_at	1	normal
1623266_at	0	empty
1623267_at	1	normal
1623268_a_at	0	empty
1623269_at	0	empty
1623270_at	0	empty
1623271_a_at	0	empty
1623272_at	0	empty
1623273_at	0	empty
1623274_s_at	0	empty
1623275_at	0	empty
1623276_at	1	normal
1623277_at	1	normal
1623278_at	0	empty
1623279_at	0	empty
1623280_at	0	empty
1623281_s_at	0	empty
1623282_at	0	empty
1623283_at	0	empty
1623284_at	0	empty
1623285_at	1	normal
1623286_at	0	empty
1623287_at	0.4	low
1623288_at	1	normal
1623289_at	0	empty
1623290_at	0	empty
1623291_at	2	high
1623292_at	1	normal
1623293_at	0	empty
1623294_at	0	empty
1623295_at	1	normal
1623296_at	0	empty
1623297_at	0	empty
1623298_at	0	empty
1623299_at	0.25	low
1623300_at	0	empty
1623301_at	0	empty
1623302_at	1	normal
1623303_at	0	empty
1623304_at	0	empty
1623305_at	1	normal
1623306_at	1	normal
1623307_at	0	empty
1623308_at	0	empty
1623309_at	0	empty
1623310_at	0	empty
1623311_at	0	empty
1623312_s_at	1	normal
1623313_at	0	empty
1623314_at	1	normal
1623315_at	0	empty
1623316_at	1	normal
1623317_at	0	empty
1623318_s_at	0	empty
1623319_at	0	empty
1623320_at	1	normal
1623321_at	0	empty
1623322_at	0	empty
1623323_at	0	empty
1623324_at	1	normal
1623325_at	0	empty
1623326_a_at	0.25	low
1623327_at	0	empty
1623328_at	1	normal
1623329_at	0	empty
1623330_at	1	normal
1623331_at	0	empty
1623332_at	0	empty
1623333_a_at	1	normal
1623334_at	0	empty
1623335_a_at	1	normal
1623336_at	0	empty
1623337_at	0	empty
1623338_at	0	empty
1623339_at	2	high
1623340_at	0	empty
1623341_at	0	empty
1623342_at	0	empty
1623343_at	0	empty
1623344_at	0	empty
1623345_at	0	empty
1623346_at	0	empty
1623347_at	1	normal
1623348_at	1	normal
1623349_x_at	0	empty
1623350_at	1	normal
1623351_at	0.25	low
1623352_at	0	empty
1623353_at	1	normal
1623354_at	0	empty
1623355_at	1	normal
1623356_at	0	empty
1623357_at	1	normal
1623358_at	0	empty
1623359_at	1	normal
1623360_at	0	empty
1623361_at	0	empty
1623362_at	0	empty
1623363_at	0.666666667	low
1623364_at	0	empty
1623365_at	3.5	high
1623366_at	1	normal
1623367_at	0	empty
1623368_at	0	empty
1623369_at	0	empty
1623370_at	0	empty
1623371_at	0	empty
1623372_at	0	empty
1623373_at	0	empty
1623374_a_at	2	high
1623375_at	1	normal
1623376_s_at	0.25	low
1623377_at	0	empty
1623378_at	1	normal
1623379_at	3.5	high
1623380_at	0	empty
1623381_at	0	empty
1623382_at	0	empty
1623383_at	0.666666667	low
1623384_at	1	normal
1623385_at	0	empty
1623386_s_at	0	empty
1623387_at	1	normal
1623388_at	0	empty
1623389_at	0	empty
1623390_at	0	empty
1623391_at	0	empty
1623392_at	0	empty
1623393_a_at	0	empty
1623394_at	0	empty
1623395_at	0	empty
1623396_at	0	empty
1623397_at	0	empty
1623398_at	0	empty
1623399_at	0	empty
1623400_at	0	empty
1623401_a_at	1	normal
1623402_at	1	normal
1623403_s_at	1	normal
1623404_at	0	empty
1623405_at	0	empty
1623406_at	0	empty
1623407_at	0	empty
1623408_s_at	MC	MC
1623409_at	0	empty
1623410_at	0	empty
1623411_at	0	empty
1623412_a_at	0	empty
1623413_at	0	empty
1623414_at	0	empty
1623415_at	0	empty
1623416_at	0	empty
1623417_at	0	empty
1623418_at	0	empty
1623419_s_at	1	normal
1623420_at	0	empty
1623421_at	1	normal
1623422_a_at	1	normal
1623423_at	0	empty
1623424_a_at	0	empty
1623425_at	0	empty
1623426_at	0	empty
1623427_at	0	empty
1623428_at	0	empty
1623429_at	1	normal
1623430_at	0	empty
1623431_at	0	empty
1623432_s_at	0	empty
1623433_at	0	empty
1623434_at	1	normal
1623435_at	0	empty
1623436_a_at	1	normal
1623437_at	1	normal
1623438_at	1	normal
1623439_at	0	empty
1623440_at	0	empty
1623441_at	0	empty
1623442_at	0	empty
1623443_at	0	empty
1623444_at	0	empty
1623445_at	0	empty
1623446_a_at	0	empty
1623447_a_at	0	empty
1623448_at	1	normal
1623449_at	3.5	high
1623450_at	0	empty
1623451_at	0	empty
1623452_at	0	empty
1623453_at	0	empty
1623454_at	0	empty
1623455_s_at	MC	MC
1623456_at	0	empty
1623457_at	0	empty
1623458_at	0	empty
1623459_at	1	normal
1623460_at	1	normal
1623461_at	0	empty
1623462_at	0	empty
1623463_at	0	empty
1623464_at	0	empty
1623465_at	0	empty
1623466_at	0	empty
1623467_at	0	empty
1623468_at	0	empty
1623469_s_at	0	empty
1623470_at	3.5	high
1623471_s_at	1.5	high
1623472_at	1	normal
1623473_at	1.7	high
1623474_at	0	empty
1623475_s_at	1	normal
1623476_at	0	empty
1623477_at	0	empty
1623478_at	0	empty
1623479_at	MC	MC
1623480_at	1	normal
1623481_at	1.5	high
1623482_at	0	empty
1623483_at	0	empty
1623484_at	0	empty
1623485_at	0	empty
1623486_at	0	empty
1623487_at	1	normal
1623488_at	0	empty
1623489_at	0	empty
1623490_at	0	empty
1623491_at	0	empty
1623492_a_at	1	normal
1623493_at	0	empty
1623494_at	3	high
1623495_at	0	empty
1623496_at	0	empty
1623497_at	0	empty
1623498_at	0.285714286	low
1623499_at	0	empty
1623500_at	0	empty
1623501_at	0	empty
1623502_at	0	empty
1623503_at	1	normal
1623504_at	0	empty
1623505_s_at	1	normal
1623506_s_at	0	empty
1623507_at	0	empty
1623508_at	0	empty
1623509_at	0	empty
1623510_at	2	high
1623511_at	0	empty
1623512_at	0	empty
1623513_at	1	normal
1623514_a_at	1	normal
1623515_at	0	empty
1623516_s_at	1	normal
1623517_at	0	empty
1623518_s_at	1	normal
1623519_at	1	normal
1623520_a_at	3.5	high
1623521_at	0	empty
1623522_at	0	empty
1623523_at	0	empty
1623524_at	0	empty
1623525_at	1	normal
1623526_at	0	empty
1623527_at	0	empty
1623528_a_at	0	empty
1623529_s_at	0	empty
1623530_at	0	empty
1623531_at	0	empty
1623532_at	0	empty
1623533_at	0	empty
1623534_at	0	empty
1623535_at	0	empty
1623536_s_at	1	normal
1623537_at	0	empty
1623538_at	0	empty
1623539_at	0	empty
1623540_at	0	empty
1623541_at	0	empty
1623542_at	0	empty
1623543_at	1	normal
1623544_at	0	empty
1623545_at	1	normal
1623546_at	0	empty
1623547_at	0	empty
1623548_at	0	empty
1623549_at	0	empty
1623550_at	0	empty
1623551_at	0	empty
1623552_s_at	0	empty
1623553_a_at	3.5	high
1623554_at	0.666666667	low
1623555_at	3.5	high
1623556_at	0	empty
1623557_at	0	empty
1623558_at	1	normal
1623559_s_at	0	empty
1623560_at	0	empty
1623561_at	0	empty
1623562_at	0	empty
1623563_at	0	empty
1623564_at	0	empty
1623565_at	1	normal
1623566_at	0	empty
1623567_at	0	empty
1623568_at	0	empty
1623569_at	0	empty
1623570_at	0.25	low
1623571_a_at	1	normal
1623572_at	1	normal
1623573_s_at	1	normal
1623574_at	0	empty
1623575_at	0	empty
1623576_at	0	empty
1623577_at	0	empty
1623578_at	0	empty
1623579_at	0	empty
1623580_at	0	empty
1623581_at	0	empty
1623582_at	1.5	high
1623583_at	1	normal
1623584_at	1	normal
1623585_at	0	empty
1623586_a_at	0	empty
1623587_at	0	empty
1623588_at	1	normal
1623589_a_at	1	normal
1623590_s_at	3	high
1623591_a_at	0	empty
1623592_at	0	empty
1623593_at	0	empty
1623594_at	1	normal
1623595_at	0.285714286	low
1623596_at	0	empty
1623597_s_at	0	empty
1623598_at	0	empty
1623599_at	0.25	low
1623600_at	0	empty
1623601_at	1	normal
1623602_a_at	0	empty
1623603_at	1.7	high
1623604_at	0.666666667	low
1623605_a_at	1	normal
1623606_at	0	empty
1623607_at	2	high
1623608_at	0	empty
1623609_at	0	empty
1623610_at	0	empty
1623611_at	0	empty
1623612_at	1	normal
1623613_at	0	empty
1623614_at	0	empty
1623615_at	0.833333333	low
1623616_at	0	empty
1623617_at	0	empty
1623618_at	0	empty
1623619_at	0	empty
1623620_a_at	0	empty
1623621_at	0	empty
1623622_a_at	0	empty
1623623_at	0	empty
1623624_at	1	normal
1623625_at	1	normal
1623626_a_at	1	normal
1623627_at	0	empty
1623628_at	0	empty
1623629_at	0	empty
1623630_at	0	empty
1623631_at	1	normal
1623632_s_at	0.833333333	low
1623633_at	0	empty
1623634_at	0	empty
1623635_at	0	empty
1623636_at	0	empty
1623637_s_at	0	empty
1623638_a_at	0	empty
1623639_at	0	empty
1623640_at	0	empty
1623641_at	0	empty
1623642_at	0	empty
1623643_s_at	0.666666667	low
1623644_s_at	0	empty
1623645_a_at	1	normal
1623646_at	0	empty
1623647_at	0	empty
1623648_s_at	1	normal
1623649_at	0	empty
1623650_a_at	0	empty
1623651_at	0	empty
1623652_at	1	normal
1623653_at	0	empty
1623654_at	0	empty
1623655_at	0	empty
1623656_s_at	3.5	high
1623657_at	0	empty
1623658_at	0	empty
1623659_at	0	empty
1623660_at	0	empty
1623661_at	0	empty
1623662_at	2	high
1623663_a_at	0	empty
1623664_at	0.25	low
1623665_at	0	empty
1623666_at	0	empty
1623667_at	0	empty
1623668_at	0	empty
1623669_at	0	empty
1623670_at	0	empty
1623671_at	0	empty
1623672_at	0	empty
1623673_at	0.285714286	low
1623674_at	0	empty
1623675_at	0	empty
1623676_at	0	empty
1623677_at	0	empty
1623678_at	1	normal
1623679_at	0	empty
1623680_at	0	empty
1623681_at	0	empty
1623682_a_at	0	empty
1623683_at	0	empty
1623684_at	0	empty
1623685_at	0	empty
1623686_at	1	normal
1623687_at	0	empty
1623688_at	0	empty
1623689_a_at	1	normal
1623690_at	0	empty
1623691_at	1	normal
1623692_s_at	1	normal
1623693_a_at	0.666666667	low
1623694_at	0	empty
1623695_a_at	1	normal
1623696_at	1.7	high
1623697_s_at	0	empty
1623698_s_at	1	normal
1623699_a_at	MC	MC
1623700_at	1	normal
1623701_at	0	empty
1623702_at	2	high
1623703_at	0	empty
1623704_at	1	normal
1623705_at	0	empty
1623706_at	0	empty
1623707_a_at	0	empty
1623708_at	0	empty
1623709_at	0	empty
1623710_at	0	empty
1623711_at	0	empty
1623712_at	1	normal
1623713_at	0	empty
1623714_at	0	empty
1623715_at	0	empty
1623716_at	1	normal
1623717_at	0	empty
1623718_at	0	empty
1623719_at	0	empty
1623720_at	0	empty
1623721_at	0	empty
1623722_at	0	empty
1623723_at	0	empty
1623724_at	0	empty
1623725_at	0	empty
1623726_at	0	empty
1623727_at	0	empty
1623728_at	0	empty
1623729_at	1	normal
1623730_at	0	empty
1623731_at	0	empty
1623732_at	0	empty
1623733_at	0	empty
1623734_at	0	empty
1623735_at	0	empty
1623736_at	0	empty
1623737_a_at	1	normal
1623738_at	0	empty
1623739_at	MC	MC
1623740_at	0	empty
1623741_at	0	empty
1623742_at	1	normal
1623743_at	1	normal
1623744_at	0	empty
1623745_at	1	normal
1623746_a_at	0	empty
1623747_at	0	empty
1623748_at	0	empty
1623749_at	0	empty
1623750_at	0	empty
1623751_at	0	empty
1623752_at	0	empty
1623753_at	1	normal
1623754_s_at	0	empty
1623755_at	1	normal
1623756_at	0	empty
1623757_at	0	empty
1623758_at	0	empty
1623759_at	0	empty
1623760_at	0	empty
1623761_at	0	empty
1623762_at	1	normal
1623763_at	0	empty
1623764_at	0	empty
1623765_at	0	empty
1623766_at	0	empty
1623767_at	0	empty
1623768_at	0	empty
1623769_at	0	empty
1623770_at	0	empty
1623771_at	1	normal
1623772_a_at	0	empty
1623773_at	0	empty
1623774_at	0	empty
1623775_at	0	empty
1623776_s_at	1	normal
1623777_s_at	0	empty
1623778_at	1	normal
1623779_at	0	empty
1623780_at	0	empty
1623781_at	0	empty
1623782_at	0	empty
1623783_at	1	normal
1623784_at	0	empty
1623785_a_at	1	normal
1623786_at	0	empty
1623787_at	1	normal
1623788_at	1	normal
1623789_at	0	empty
1623790_at	0	empty
1623791_s_at	0	empty
1623792_a_at	1	normal
1623793_at	0	empty
1623794_at	1	normal
1623795_at	0	empty
1623796_at	0	empty
1623797_at	1.5	high
1623798_at	2	high
1623799_a_at	1	normal
1623800_at	0	empty
1623801_at	0	empty
1623802_at	0	empty
1623803_at	0	empty
1623804_a_at	1	normal
1623805_at	MC	MC
1623806_at	MF	MF
1623807_a_at	MC	MC
1623808_s_at	0	empty
1623809_s_at	0	empty
1623810_at	1	normal
1623811_at	0	empty
1623812_at	0	empty
1623813_at	0.25	low
1623814_at	0	empty
1623815_at	0	empty
1623816_s_at	0	empty
1623817_at	1.7	high
1623818_at	0	empty
1623819_at	1.5	high
1623820_at	1	normal
1623821_at	0	empty
1623822_at	0	empty
1623823_a_at	0	empty
1623824_at	0	empty
1623825_s_at	0	empty
1623826_at	0	empty
1623827_a_at	0	empty
1623828_at	0	empty
1623829_at	0	empty
1623830_at	1	normal
1623831_x_at	0	empty
1623832_a_at	0	empty
1623833_at	0	empty
1623834_at	0	empty
1623835_at	0	empty
1623836_at	0	empty
1623837_at	0	empty
1623838_s_at	0	empty
1623839_at	1	normal
1623840_at	0	empty
1623841_at	0	empty
1623842_a_at	MC	MC
1623843_at	1.5	high
1623844_at	0	empty
1623845_s_at	0	empty
1623846_at	0	empty
1623847_at	0.833333333	low
1623848_a_at	0	empty
1623849_s_at	0	empty
1623850_at	0	empty
1623851_at	3.5	high
1623852_at	0	empty
1623853_at	0	empty
1623854_at	0	empty
1623855_s_at	1	normal
1623856_at	0	empty
1623857_at	0	empty
1623858_at	0.666666667	low
1623859_at	0	empty
1623860_at	1	normal
1623861_at	1	normal
1623862_at	3.5	high
1623863_a_at	0	empty
1623864_at	1	normal
1623865_at	0	empty
1623866_at	0	empty
1623867_at	0	empty
1623868_a_at	0	empty
1623869_at	1	normal
1623870_at	0	empty
1623871_at	0	empty
1623872_at	1	normal
1623873_at	0.285714286	low
1623874_at	1	normal
1623875_at	1	normal
1623876_at	0	empty
1623877_a_at	0	empty
1623878_at	1	normal
1623879_at	0	empty
1623880_at	0	empty
1623881_s_at	0	empty
1623882_at	0	empty
1623883_at	0	empty
1623884_at	0	empty
1623885_at	1	normal
1623886_at	0	empty
1623887_at	0.4	low
1623888_at	0	empty
1623889_at	0	empty
1623890_at	0	empty
1623891_at	0	empty
1623892_at	0	empty
1623893_at	3.5	high
1623894_a_at	1	normal
1623895_at	0	empty
1623896_a_at	1	normal
1623897_at	0	empty
1623898_at	0	empty
1623899_at	1	normal
1623900_a_at	0	empty
1623901_s_at	1	normal
1623902_at	0	empty
1623903_at	0	empty
1623904_a_at	0	empty
1623905_s_at	0	empty
1623906_at	0	empty
1623907_at	0	empty
1623908_at	0	empty
1623909_s_at	0	empty
1623910_at	0	empty
1623911_at	0	empty
1623912_at	0	empty
1623913_at	0	empty
1623914_at	0	empty
1623915_at	0	empty
1623916_at	0	empty
1623917_a_at	0	empty
1623918_at	1	normal
1623919_a_at	0.4	low
1623920_at	0	empty
1623921_at	0	empty
1623922_at	0	empty
1623923_a_at	1	normal
1623924_at	2	high
1623925_at	0	empty
1623926_at	1.5	high
1623927_at	0	empty
1623928_at	0	empty
1623929_at	0	empty
1623930_s_at	0	empty
1623931_s_at	0	empty
1623932_at	0.666666667	low
1623933_at	0	empty
1623934_at	0	empty
1623935_at	0.666666667	low
1623936_at	1.5	high
1623937_at	0	empty
1623938_at	0	empty
1623939_at	0	empty
1623940_at	0.666666667	low
1623941_at	0	empty
1623942_at	0	empty
1623943_at	0	empty
1623944_at	0	empty
1623945_at	0	empty
1623946_at	0	empty
1623947_at	0	empty
1623948_at	0	empty
1623949_s_at	0	empty
1623950_s_at	1.7	high
1623951_at	0	empty
1623952_a_at	1	normal
1623953_at	0	empty
1623954_s_at	1.5	high
1623955_at	0	empty
1623956_at	1	normal
1623957_s_at	1	normal
1623958_at	0	empty
1623959_at	1	normal
1623960_s_at	0	empty
1623961_at	0	empty
1623962_x_at	0	empty
1623963_at	0	empty
1623964_at	0	empty
1623965_at	0	empty
1623966_s_at	0	empty
1623967_at	0	empty
1623968_at	1	normal
1623969_at	1	normal
1623970_at	0	empty
1623971_at	0	empty
1623972_a_at	0.285714286	low
1623973_at	0	empty
1623974_at	0	empty
1623975_at	1	normal
1623976_at	0	empty
1623977_at	1	normal
1623978_at	0	empty
1623979_at	0	empty
1623980_at	0	empty
1623981_at	0	empty
1623982_s_at	0	empty
1623983_at	0	empty
1623984_s_at	0	empty
1623985_at	1	normal
1623986_at	0	empty
1623987_at	0	empty
1623988_at	0	empty
1623989_at	1	normal
1623990_at	0	empty
1623991_s_at	1	normal
1623992_at	0	empty
1623993_at	1	normal
1623994_at	0	empty
1623995_at	0	empty
1623996_at	0	empty
1623997_s_at	0	empty
1623998_at	1	normal
1623999_at	0	empty
1624000_at	0	empty
1624001_at	0	empty
1624002_a_at	0	empty
1624003_at	1	normal
1624004_s_at	1	normal
1624005_at	0	empty
1624006_at	1	normal
1624007_at	1	normal
1624008_at	1.7	high
1624009_at	0	empty
1624010_a_at	0	empty
1624011_at	0	empty
1624012_at	1.5	high
1624013_at	0	empty
1624014_at	0	empty
1624015_at	0	empty
1624016_at	0	empty
1624017_at	0	empty
1624018_at	0	empty
1624019_s_at	1	normal
1624020_at	0	empty
1624021_a_at	0.4	low
1624022_at	1	normal
1624023_at	0.4	low
1624024_s_at	0	empty
1624025_at	0	empty
1624026_at	0	empty
1624027_at	0	empty
1624028_at	0	empty
1624029_at	3.5	high
1624030_at	0	empty
1624031_at	0	empty
1624032_at	1	normal
1624033_at	1.7	high
1624034_at	0	empty
1624035_a_at	1	normal
1624036_at	1	normal
1624037_s_at	0	empty
1624038_at	0	empty
1624039_at	0	empty
1624040_at	0	empty
1624041_at	1	normal
1624042_at	0	empty
1624043_at	0	empty
1624044_at	0.833333333	low
1624045_at	0	empty
1624046_at	0	empty
1624047_at	0	empty
1624048_at	0	empty
1624049_at	0	empty
1624050_at	1.7	high
1624051_at	0.666666667	low
1624052_at	0	empty
1624053_at	0	empty
1624054_at	1	normal
1624055_at	0	empty
1624056_a_at	0	empty
1624057_at	0	empty
1624058_at	0	empty
1624059_at	1	normal
1624060_at	0	empty
1624061_at	0	empty
1624062_at	0	empty
1624063_at	0	empty
1624064_at	0	empty
1624065_at	2	high
1624066_at	0	empty
1624067_at	0	empty
1624068_at	0	empty
1624069_at	0	empty
1624070_at	1	normal
1624071_at	0	empty
1624072_at	0	empty
1624073_at	0	empty
1624074_at	0	empty
1624075_at	0	empty
1624076_at	0	empty
1624077_at	0	empty
1624078_at	0	empty
1624079_a_at	0	empty
1624080_s_at	MC	MC
1624081_at	0	empty
1624082_at	0	empty
1624083_s_at	1.7	high
1624084_s_at	0	empty
1624085_at	0	empty
1624086_at	1	normal
1624087_at	0	empty
1624088_at	1	normal
1624089_at	0	empty
1624090_at	0	empty
1624091_at	0	empty
1624092_at	0	empty
1624093_at	1	normal
1624094_at	0	empty
1624095_at	0	empty
1624096_at	0	empty
1624097_s_at	1	normal
1624098_s_at	1	normal
1624099_at	0	empty
1624100_at	0	empty
1624101_at	1	normal
1624102_at	0	empty
1624103_at	0	empty
1624104_at	0	empty
1624105_at	1	normal
1624106_at	1	normal
1624107_at	0	empty
1624108_at	0	empty
1624109_s_at	1.5	high
1624110_at	0	empty
1624111_at	0	empty
1624112_at	0	empty
1624113_at	1	normal
1624114_at	0	empty
1624115_s_at	0	empty
1624116_at	0	empty
1624117_at	1	normal
1624118_at	0	empty
1624119_at	1	normal
1624120_at	0	empty
1624121_at	0	empty
1624122_a_at	0.833333333	low
1624123_at	0	empty
