#Clone = Identifier of Drosophila Gene Collection (DGC) cDNA clone (DGC: http://www.fruitfly.org/DGC/index.html)	
#Fold_change (A/B) = Relative fold-amount of spiked-in clone in sample A compared to sample B	
Clone	Fold_change (A/B)
GH10091	1
GH10101	1
GH10120	1
GH10148	1
GH10149	3.5
GH10154	1
GH10162	1
GH10173	1
GH10201	1
GH10215	1
GH10229	1
GH10244	1
GH10260	1
GH10266	1
GH10270	1
GH10272	1
GH10293	3.5
GH10306	3.5
GH10307	1
GH10316	1
GH10333	1
GH10341	1
GH10344	1
GH10346	1
GH10354	1
GH10361	3.5
GH10365	3.5
GH10366	1
GH10421	1
GH10422	1
GH10427	3.5
GH10432	1
GH10451	1
GH10454	1
GH10478	1
GH10480	1
GH10486	3.5
GH10492	1
GH10494	1
GH10507	1
GH10517	3.5
GH10523	1
GH10531	1
GH10582	3.5
GH10588	1
GH10589	1
GH10590	1
GH10594	1
GH10595	1
GH10614	1
GH10635	1
GH10637	1
GH10639	1
GH10640	1
GH10642	1
GH10646	1
GH10652	1
GH10666	1
GH10694	1
GH10703	1
GH10708	1
GH10711	1
GH10726	1
GH10729	3.5
GH10732	1
GH10745	1
GH10751	1
GH10766	1
GH10767	1
GH10770	1
GH10774	1
GH10777	1
GH10778	1
GH10780	1
GH10821	3.5
GH10824	1
GH10833	3.5
GH10845	3.5
GH10853	3.5
GH10856	1
GH10864	3.5
GH10871	1
GH10876	3.5
GH10884	3.5
GH10889	1
GH10905	1
GH10911	3.5
GH10914	1
GH10924	1
GH10942	3.5
GH10944	1
GH10964	1
GH10971	1
GH11008	3.5
GH11023	1
GH11046	3.5
GH11047	1
GH11052	3.5
GH11067	1
GH11110	1
GH11112	1
GH11113	1
GH11117	1
GH11140	1
GH11142	1
GH11143	3.5
GH11150	3.5
GH11174	3.5
GH11189	1
GH11193	3.5
GH11210	1
GH11218	1
GH11223	1
GH11263	1
GH11272	1
GH11288	1
GH11294	1
GH11322	1
GH11331	1
GH11333	1
GH11341	1
GH11346	3.5
GH11358	3.5
GH11368	3.5
GH11385	1
GH11415	1
GH11417	3.5
GH11432	1
GH11459	1
GH11472	1
GH11495	1
GH11496	1
GH11519	1
GH11554	1
GH11558	1
GH11566	1
GH11567	1
GH11578	3.5
GH11579	3.5
GH11587	3.5
GH11591	1
GH11602	1
GH11618	1
GH11627	1
GH11670	1
GH11671	1
GH11673	1
GH11677	1
GH11680	1
GH11688	1
GH11690	1
GH11706	1
GH11727	1
GH11731	3.5
GH11740	1
GH11762	1
GH11818	3.5
GH11824	1
GH11843	1
GH11848	1
GH11862	1
GH11867	1
GH11885	1
GH11902	1
GH11908	1
GH11924	1
GH11935	1
GH11940	3.5
GH11945	1
GH11963	1
GH11964	1
GH11973	1
GH11985	1
GH12002	1
GH12004	1
GH12014	1
GH12017	1
GH12023	1
GH12037	3.5
GH12043	1
GH12050	1
GH12052	1
GH12056	1
GH12064	1
GH12067	1
GH12068	1.7
GH12078	1
GH12103	1
GH12107	3.5
GH12111	1
GH12144	1
GH12153	1
GH12158	1
GH12163	1
GH12174	1
GH12182	1
GH12192	1
GH12207	1
GH12215	1.7
GH12222	1
GH12223	1
GH12235	1
GH12243	1
GH12267	1
GH12286	1
GH12319	1
GH12326	1
GH12331	1
GH12334	3.5
GH12341	1
GH12350	1
GH12359	1
GH12365	1
GH12380	1
GH12381	1
GH12395	1
GH12404	1
GH12410	1
GH12418	1
GH12419	1
GH12423	1
GH12430	1
GH12454	3.5
GH12467	1
GH12469	1
GH12489	1
GH12495	1
GH12504	1
GH12537	1
GH12543	1
GH12548	3.5
GH12549	1
GH12558	1
GH12561	1
GH12580	1
GH12581	1
GH12581	1.7
GH12584	1
GH12596	1
GH12609	1
GH12632	1
GH12636	3.5
GH12638	1
GH12641	1
GH12661	3.5
GH12663	1
GH12664	1
GH12677	1
GH12681	1
GH12682	1
GH12692	1
GH12714	1
GH12726	1
GH12731	1
GH12756	1
GH12763	1
GH12788	1
GH12794	1
GH12815	1
GH12831	3.5
GH12838	1
GH12850	1
GH12861	3.5
GH12873	1
GH12888	1
GH12891	1
GH12904	1
GH12907	1
GH12916	1
GH12942	1
GH12946	1
GH12953	1
GH12955	1
GH12958	1
GH12970	1
GH12991	1
GH13022	1
GH13023	1
GH13033	1
GH13039	1
GH13040	1
GH13047	1
GH13054	1
GH13089	1
GH13094	1
GH13116	3.5
GH13132	1
GH13134	1
GH13165	1
GH13170	1
GH13177	1
GH13185	3.5
GH13192	1
GH13213	1
GH13214	1
GH13226	1
GH13229	1
GH13232	1
GH13236	1
GH13245	1
GH13253	1
GH13256	1
GH13257	1
GH13296	1
GH13304	1
GH13327	1
GH13356	1
GH13361	1
GH13362	1
GH13369	0.666666666666667
GH13383	1
GH13387	1
GH13403	0.666666666666667
GH13437	1
GH13441	1
GH13449	0.666666666666667
GH13458	1
GH13461	1
GH13492	1
GH13495	1
GH13548	1
GH13557	0.666666666666667
GH13575	1
GH13594	1
GH13631	1
GH13672	1
GH13704	1.7
GH13725	1
GH13729	0.666666666666667
GH13735	1
GH13752	0.666666666666667
GH13755	1
GH13756	1
GH13760	3.5
GH13765	1
GH13775	1
GH13793	1
GH13802	0.666666666666667
GH13807	1
GH13810	1
GH13823	1
GH13824	1
GH13848	0.666666666666667
GH13851	1
GH13855	0.666666666666667
GH13857	1
GH13859	1
GH13879	0.666666666666667
GH13883	1
GH13884	1
GH13901	1
GH13914	1
GH13919	0.666666666666667
GH13924	1
GH13929	1
GH13950	1
GH13952	1
GH13953	1
GH13968	0.666666666666667
GH13975	0.666666666666667
GH13982	0.666666666666667
GH13988	1
GH13992	1
GH14032	1
GH14032	1.7
GH14043	1
GH14048	1
GH14055	1
GH14066	0.666666666666667
GH14073	1
GH14075	1
GH14085	0.666666666666667
GH14088	1
GH14092	0.666666666666667
GH14121	1
GH14130	1
GH14143	1
GH14157	1
GH14162	1
GH14206	0.666666666666667
GH14208	1
GH14210	1
GH14216	1
GH14228	0.666666666666667
GH14252	1
GH14260	1
GH14272	1
GH14278	1
GH14288	1
GH14308	1
GH14313	1
GH14316	0.666666666666667
GH14326	1
GH14327	1
GH14349	0.666666666666667
GH14366	1
GH14368	1
GH14380	1
GH14382	1
GH14384	1
GH14389	1
GH14412	1
GH14422	0.666666666666667
GH14433	1
GH14435	1
GH14439	1
GH14443	1
GH14445	0.666666666666667
GH14454	1
GH14459	0.666666666666667
GH14462	3.5
GH14469	3.5
GH14470	1
GH14476	1
GH14494	3.5
GH14502	3.5
GH14506	0.666666666666667
GH14509	1
GH14524	1
GH14535	1
GH14561	1
GH14572	1
GH14576	1
GH14582	1
GH14589	1
GH14591	1
GH14596	0.666666666666667
GH14621	0.666666666666667
GH14622	1
GH14650	1
GH14654	1
GH14656	1
GH14660	1
GH14667	1
GH14673	1
GH14674	1
GH14693	1
GH14707	1
GH14710	1
GH14720	1
GH14734	3.5
GH14739	1
GH14744	1
GH14758	1
GH14769	1
GH14774	1
GH14779	1
GH14795	1
GH14803	1
GH14812	1
GH14842	1
GH14845	1
GH14865	0.666666666666667
GH14884	0.666666666666667
GH14903	3.5
GH14910	1
GH14923	1
GH14933	1
GH14950	1
GH14951	1
GH14953	1
GH14967	1
GH14974	3.5
GH15037	1
GH15053	0.666666666666667
GH15080	0.666666666666667
GH15081	1
GH15083	1
GH15136	0.666666666666667
GH15170	1
GH15213	1
GH15272	1
GH15286	0.666666666666667
GH15292	0.666666666666667
GH15335	1
GH15359	0.666666666666667
GH15416	0.666666666666667
GH15428	1
GH15448	1
GH15453	0.666666666666667
GH15456	0.666666666666667
GH15471	1
GH15472	0.666666666666667
GH15479	1
GH15485	0.666666666666667
GH15507	0.666666666666667
GH15538	0.666666666666667
GH15539	1
GH15549	0.666666666666667
GH15583	1
GH15647	0.666666666666667
GH15653	1
GH15686	0.666666666666667
GH15728	1
GH15731	0.666666666666667
GH15741	0.666666666666667
GH15747	0.666666666666667
GH15748	1
GH15759	0.666666666666667
GH15768	0.666666666666667
GH15792	1
GH15825	0.666666666666667
GH15861	1
GH15883	0.666666666666667
GH15894	1
GH15905	1
GH15921	1
GH15945	0.666666666666667
GH16063	1
GH16072	1
GH16081	1
GH16156	0.666666666666667
GH16161	0.666666666666667
GH16191	1
GH16214	0.666666666666667
GH16240	0.666666666666667
GH16244	0.666666666666667
GH16255	1
GH16320	1
GH16325	1
GH16383	0.666666666666667
GH16384	1
GH16393	1
GH16395	0.666666666666667
GH16413	0.666666666666667
GH16429	0.666666666666667
GH16431	0.666666666666667
GH16433	0.666666666666667
GH16463	1
GH16479	1
GH16485	0.666666666666667
GH16531	3.5
GH16587	1
GH16590	0.666666666666667
GH16593	1
GH16612	1
GH16625	0.666666666666667
GH16664	1
GH16672	0.666666666666667
GH16721	1
GH16729	1
GH16740	3.5
GH16763	0.666666666666667
GH16843	3.5
GH16858	1
GH16914	0.666666666666667
GH16917	1
GH16930	0.666666666666667
GH16956	1
GH16986	1
GH16988	1
GH16993	1
GH17076	1
GH17085	0.666666666666667
GH17087	0.666666666666667
GH17088	1
GH17145	0.666666666666667
GH17155	1
GH17175	1
GH17186	0.666666666666667
GH17311	0.666666666666667
GH17337	1
GH17344	1
GH17414	1
GH17420	1
GH17442	1
GH17451	1
GH17465	3.5
GH17475	3.5
GH17483	1
GH17516	3.5
GH17517	1
GH17619	0.666666666666667
GH17623	0.666666666666667
GH17632	0.666666666666667
GH17639	1
GH17657	0.666666666666667
GH17661	0.666666666666667
GH17676	0.666666666666667
GH17679	1
GH17715	1
GH17724	0.666666666666667
GH17740	1
GH17783	0.666666666666667
GH17801	0.666666666666667
GH17891	0.666666666666667
GH17893	0.666666666666667
GH17919	0.666666666666667
GH17930	0.666666666666667
GH17932	1
GH17939	0.666666666666667
GH17960	1
GH17972	0.666666666666667
GH17980	1
GH18004	1
GH18009	0.666666666666667
GH18014	0.666666666666667
GH18016	0.666666666666667
GH18028	0.666666666666667
GH18077	1
GH18123	0.666666666666667
GH18129	1
GH18144	1
GH18152	1
GH18222	1
GH18255	1
GH18278	1
GH18280	1
GH18325	3.5
GH18329	1
GH18334	1
GH18356	1
GH18370	1
GH18372	1
GH18422	1
GH18452	1
GH18470	1
GH18514	1
GH18520	1
GH18521	3.5
GH18546	1
GH18574	1
GH18601	1
GH18603	1
GH18608	1
GH18623	1
GH18625	1
GH18634	1
GH18645	1
GH18658	1
GH18690	1
GH18717	1
GH18819	1
GH18838	1
GH18858	1
GH18886	1
GH18902	1
GH18921	1
GH18946	1
GH18955	3.5
GH18971	1
GH18995	1
GH19029	1
GH19047	1
GH19049	1
GH19061	1
GH19076	1
GH19095	1
GH19118	1
GH19141	1
GH19142	1
GH19145	1
GH19181	1
GH19182	1
GH19206	1
GH19218	1
GH19222	1
GH19226	1
GH19262	1
GH19286	1
GH19329	1
GH19331	1
GH19356	1
GH19382	1
GH19431	1
GH19479	1
GH19483	1
GH19521	1
GH19532	1
GH19563	1
GH19567	1
GH19593	1
GH19611	1
GH19628	1
GH19637	1
GH19655	1
GH19670	1
GH19680	1
GH19688	1
GH19706	1
GH19743	3.5
GH19763	1
GH19777	1
GH19789	1
GH19849	1
GH19857	1
GH19969	1
GH19970	1
GH19985	1
GH20022	1
GH20023	1
GH20028	1
GH20044	1
GH20047	1
GH20064	1
GH20068	1
GH20077	1
GH20093	1
GH20109	1
GH20124	1
GH20156	1
GH20168	1
GH20208	1
GH20219	1
GH20226	1
GH20281	1
GH20310	1
GH20325	1
GH20337	1
GH20378	1
GH20388	1
GH20409	1
GH20431	1
GH20441	3.5
GH20492	1
GH20501	1
GH20514	1
GH20547	3.5
GH20554	1
GH20565	3.5
GH20617	1
GH20665	1
GH20717	1
GH20759	1
GH20776	3.5
GH20785	1
GH20802	1
GH20809	1
GH20817	3.5
GH20830	1
GH20839	1
GH20840	1
GH20858	1
GH20904	1
GH20931	1
GH20954	3.5
GH20963	1
GH20973	1
GH20978	1
GH20986	1
GH20987	1
GH21008	1
GH21034	1
GH21048	1
GH21056	1
GH21062	1
GH21086	1
GH21112	1
GH21114	1
GH21132	1
GH21134	1
GH21160	1
GH21171	1
GH21174	1
GH21176	1
GH21184	3.5
GH21228	1
GH21254	1
GH21295	1
GH21316	1
GH21352	1
GH21463	1
GH21465	1
GH21490	1
GH21511	1
GH21518	1
GH21596	1
GH21622	1
GH21655	1
GH21666	3.5
GH21672	1
GH21710	1
GH21757	1
GH21787	1
GH21817	1
GH21837	1
GH21853	1
GH21870	1
GH21874	1
GH21880	1
GH21896	1
GH21903	1
GH21941	1
GH21948	1
GH21964	1
GH21984	1
GH22016	1
GH22074	1
GH22081	1
GH22096	1
GH22106	1
GH22139	1
GH22160	1
GH22170	1
GH22187	1
GH22222	1
GH22264	1
GH22266	1
GH22307	1
GH22314	1
GH22341	3.5
GH22439	1
GH22459	1
GH22460	1
GH22488	1
GH22493	1
GH22607	1
GH22615	1
GH22661	1
GH22686	1
GH22690	1
GH22719	1
GH22722	1
GH22734	1
GH22740	0.25
GH22749	1
GH22765	1
GH22790	0.25
GH22805	1
GH22837	0.25
GH22838	0.25
GH22839	0.25
GH22841	0.25
GH22843	0.25
GH22851	1
GH22857	1
GH22881	1
GH22889	1
GH22890	1
GH22922	0.25
GH22929	0.25
GH22974	1
GH22984	0.25
GH22991	0.25
GH22994	1
GH23001	1
GH23019	0.25
GH23026	1
GH23035	1
GH23040	1
GH23075	0.25
GH23107	1
GH23156	0.25
GH23165	3.5
GH23184	1
GH23228	1
GH23250	1
GH23259	1
GH23271	0.25
GH23334	1
GH23342	3.5
GH23377	0.25
GH23382	1
GH23387	0.25
GH23390	1
GH23407	1
GH23439	0.25
GH23453	0.25
GH23455	0.25
GH23462	0.25
GH23463	0.25
GH23483	1
GH23506	1
GH23529	1
GH23534	0.25
GH23546	0.25
GH23590	1
GH23604	0.25
GH23615	1
GH23617	1
GH23626	0.25
GH23636	1
GH23641	1
GH23657	1
GH23708	0.25
GH23727	1
GH23730	1
GH23732	0.25
GH23735	1
GH23743	0.25
GH23780	1
GH23783	1
GH23785	1
GH23813	1
GH23814	1
GH23825	1
GH23838	0.25
GH23839	0.25
GH23865	1
GH23891	0.25
GH23906	1
GH23934	0.25
GH23955	0.25
GH23965	1
GH23971	1
GH23975	1
GH23986	1
GH23990	3.5
GH24002	1
GH24077	0.25
GH24078	0.25
GH24095	0.25
GH24192	1
GH24215	0.25
GH24257	0.25
GH24265	0.25
GH24271	0.25
GH24286	0.25
GH24292	0.25
GH24302	1
GH24360	0.25
GH24371	1
GH24458	1
GH24459	1
GH24474	0.25
GH24511	1
GH24529	1
GH24564	0.25
GH24605	0.25
GH24627	0.25
GH24644	1
GH24653	0.25
GH24669	0.25
GH24674	0.25
GH24702	0.25
GH24781	1
GH24787	0.25
GH24859	3.5
GH24869	1
GH24871	3.5
GH24929	1
GH24985	1
GH25012	1
GH25014	0.25
GH25051	1
GH25089	1
GH25177	0.25
GH25188	1
GH25190	1
GH25238	1
GH25251	0.25
GH25257	0.25
GH25284	1
GH25366	1
GH25379	1
GH25390	0.25
GH25405	1
GH25425	3.5
GH25458	1
GH25462	3.5
GH25466	1
GH25505	0.25
GH25507	0.25
GH25564	0.25
GH25573	1
GH25580	1
GH25591	1
GH25629	1
GH25653	0.25
GH25655	3.5
GH25683	1
GH25720	1
GH25723	1
GH25733	3.5
GH25737	0.25
GH25761	1
GH25768	0.25
GH25778	1
GH25780	1
GH25793	1
GH25818	3.5
GH25848	3.5
